,base_t,part_t,layer_th,accuracy,success_r,base_t_min,base_t_max,part_t_min,part_t_max,layer_t_min,layer_t_max
1,10,2,0.5,95,0.3,5,15,1,5,0.1,0.5
2,10,5,0.5,95,0,5,15,1,5,0.1,0.5
3,5,5,0.5,95,0,5,15,1,5,0.1,0.5
4,5,2,0.5,95,0,5,15,1,5,0.1,0.5
5,14,4,0.5,95,0,5,15,1,5,0.1,0.5
6,10,2,0.2,95,1,5,15,1,5,0.1,0.5
7,10,1.5,0.2,95,0,5,15,1,5,0.1,0.5
8,9.957,2.159,0.18,100,0.5,5,15,1,5,0.1,0.5
9,7.661,4.362,0.17,124,0,5,15,1,5,0.1,0.5
10,9.842,2.115,0.15,107.5,0,5,15,1,5,0.1,0.5
11,6.138,2.467,0.48,99,0.01,5,15,1,5,0.1,0.5
12,8.631,4.186,0.18,122,0,5,15,1,5,0.1,0.5
13,8.758,4.16,0.41,109,0,5,15,1,5,0.1,0.5
14,10.323,4.15,0.17,121,0,5,15,1,5,0.1,0.5
15,10.958,2.044,0.4,100,0.2,5,15,1,5,0.1,0.5
16,7.275,1.622,0.48,100,0.2,5,15,1,5,0.1,0.5
17,12.263,3.914,0.18,113,0,5,15,1,5,0.1,0.5
18,8.758,4.16,0.41,107.5,0,5,15,1,5,0.1,0.5
19,11.445,3.555,0.14,119,0,5,15,1,5,0.1,0.5
20,10.958,2.044,0.4,100,0.1,5,15,1,5,0.1,0.5
21,7.275,1.622,0.48,100,0.1,5,15,1,5,0.1,0.5
22,12.263,3.914,0.18,116,0,5,15,1,5,0.1,0.5
